date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:34	22061/22061	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Feb%202022%2021:15:33%20GMT	https://www.epicskins2021.com/	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/www.epicskins2021.com/index.html	(from )
22:15:34	5525/5525	---M--	200	added ('OK')	image/png	etag:%22b84585af030e3897002e24cd6d50e1a8%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/15591549563ccab5bc766b68f44bf6b1e63908074e.png	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d13pxqgp3ixdbh.cloudfront.net/uploads/15591549563ccab5bc766b68f44bf6b1e63908074e.png	(from https://www.epicskins2021.com/)
22:15:35	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://www.epicskins2021.com/)
22:15:35	4061/4061	---M--	200	added ('OK')	image/png	etag:%22646a7864385b371eb72c30a6cf97e7ae%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1559154958fd0b5fc40bcda1dbb96d05b9740da38e.png	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d13pxqgp3ixdbh.cloudfront.net/uploads/1559154958fd0b5fc40bcda1dbb96d05b9740da38e.png	(from https://www.epicskins2021.com/)
22:15:35	16626/16626	---M--	200	added ('OK')	image/png	etag:%22cdc42c2abba567d23977b8e4e2885690%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1559154955ef69409d24ad2c050634250047b1175e.png	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d13pxqgp3ixdbh.cloudfront.net/uploads/1559154955ef69409d24ad2c050634250047b1175e.png	(from https://www.epicskins2021.com/)
22:15:36	155064/155064	---M--	200	added ('OK')	text/css	etag:%221c4e703115f9693b5f6845cd1d44708e%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15591548791707f3c35b8b8467a154f5eb4883b075.css	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15591548791707f3c35b8b8467a154f5eb4883b075.css	(from https://www.epicskins2021.com/)
22:15:36	58412/58412	---M--	200	added ('OK')	text/css	etag:%224e9916c6e22f98b738bbf52ad691e9a3%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1559154877b2fc9a273f9247b9033a50ead9712e9c.css	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/1559154877b2fc9a273f9247b9033a50ead9712e9c.css	(from https://www.epicskins2021.com/)
22:15:36	20290/20290	---M--	200	added ('OK')	text/css	etag:%2214b4080f0d5fcaf2762dccaa575933cb%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15615752878a41f3dbd77916497c3c1f899e277b4e.css	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/15615752878a41f3dbd77916497c3c1f899e277b4e.css	(from https://www.epicskins2021.com/)
22:15:37	26769/26769	---M--	200	added ('OK')	image/png	etag:%22a9c8e6bd46021d11b008f2547a73a910%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/15364866183e192a9af841a945672c2962b711355e.png	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d13pxqgp3ixdbh.cloudfront.net/uploads/15364866183e192a9af841a945672c2962b711355e.png	(from https://www.epicskins2021.com/)
22:15:37	35236/35236	---M--	200	added ('OK')	image/png	etag:%22396f793cb8cbe00233aca875753e3d52%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1616967700ed92a257abb45337a83fa5094870c3d9.png	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d13pxqgp3ixdbh.cloudfront.net/uploads/1616967700ed92a257abb45337a83fa5094870c3d9.png	(from https://www.epicskins2021.com/)
22:15:40	23438/23438	---MCZ	200	added ('OK')	application/javascript	etag:W/%226863f6e390060c097da580136d1dcaf2%22	https://d12u7tum9sda5e.cloudfront.net/722SzW.js	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d12u7tum9sda5e.cloudfront.net/722SzW.js	(from https://www.epicskins2021.com/)
22:15:40	95786/95786	---M--	200	added ('OK')	application/x-javascript	etag:%228101d596b2b8fa35fe3a634ea342d7c3%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/assets/14859274931dd77b79350953c8e835afaced491210.js	C:/Users/imadseif/Downloads/httrack%20websites/ROBLOX%20free%20robux%20generator/d13pxqgp3ixdbh.cloudfront.net/uploads/assets/14859274931dd77b79350953c8e835afaced491210.js	(from https://www.epicskins2021.com/)
